quantity;value
cycles;17
satisficing_failed;17
tried;3
accepted;1
rejected;2
withheld;0
persist_failed;0
dJ_accepted;-0.000845
stage2_tried;1
stage2_accepted;0
stage3_tried;2
stage3_accepted;1
blocked: cooldown between adaptation trials;13
gate: rejected at G3 (no improvement);1
gate: admitted (package, G5 margin cleared);1
rejected: rejected at G3 (claude);1
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";1
