step;t_min;hotspot;attended;shares;statement
0;0.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.666|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.36), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.67 (monitor)
1;1.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.666|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.32), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.67 (monitor)
2;2.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.666|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.31), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.67 (monitor)
3;3.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.32), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
4;4.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.33), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
5;5.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.34), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
6;6.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.34), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
7;7.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
8;8.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
9;9.0;Agent_1;Agent_1|Agent_2|Agent_3;Agent_1=1.0|Agent_2=1.0|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 1.00
10;10.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.669|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.67 (monitor)
11;11.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.664|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.66 (monitor)
12;12.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.659|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.66 (monitor)
13;13.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.656|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.66 (monitor)
14;14.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.653|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
15;15.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.651|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
16;16.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.649|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor) · water ferried from Agent_1's water (752 m) to Agent_3
17;17.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.647|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
18;18.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.646|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
19;19.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.645|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
20;20.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.645|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.64 (monitor)
21;21.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.644|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.35), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.64 (monitor)
22;22.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.643|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.34), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.64 (monitor)
23;23.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.647|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.32), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
24;24.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.654|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.31), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
25;25.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.652|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.31), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
26;26.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.65|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.32), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
27;27.0;Agent_1;Agent_1|Agent_3;Agent_1=1.0|Agent_2=0.649|Agent_3=1.0;Global DSS: focus on Agent_1 (priority 0.32), Agent_1 share 1.00, Agent_3 share 1.00, Agent_2 share 0.65 (monitor)
