quantity;value
cycles;44
satisficing_failed;35
tried;8
accepted;0
rejected;8
withheld;0
persist_failed;0
dJ_accepted;0.000000
stage1_tried;4
stage1_accepted;0
stage2_tried;3
stage2_accepted;0
stage3_tried;1
stage3_accepted;0
blocked: cooldown between adaptation trials;27
gate: rejected at G3 (no improvement);1
rejected: no improving perturbation found;4
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";3
rejected: rejected at G3 (claude);1
