step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,14,14,0.02043,0.04326,0.00000,0.00000,0.00051,8.27,0.00,0.068,188,68.5
2,2.0,21,21,0.02810,0.06418,0.00000,0.00000,0.00102,8.27,0.00,0.068,422,72.1
3,3.0,29,29,0.03525,0.08753,0.00000,0.00000,0.00151,8.27,0.00,0.068,440,69.8
4,4.0,40,40,0.04865,0.11869,0.00000,0.00000,0.00217,8.27,0.00,0.068,529,97.9
5,5.0,47,47,0.05526,0.13796,0.00000,0.00000,0.00286,8.27,0.00,0.068,564,100.8
6,6.0,50,50,0.05837,0.14609,0.00000,0.00000,0.00355,8.27,0.00,0.068,595,103.3
7,7.0,60,60,0.06661,0.17264,0.00000,0.00000,0.00422,8.27,0.00,0.068,599,101.0
8,8.0,64,64,0.07025,0.18303,0.00000,0.00000,0.00494,8.27,0.00,0.068,636,108.7
9,9.0,79,79,0.08170,0.22083,0.00000,0.00000,0.00568,8.27,0.00,0.068,657,111.3
10,10.0,88,88,0.08851,0.24267,0.00000,0.00000,0.00652,8.27,0.00,0.068,710,126.4
11,11.0,95,95,0.08996,0.25923,0.00000,0.00000,0.00805,8.27,0.00,0.069,739,221.3
12,12.0,109,109,0.09965,0.29127,0.00000,0.00000,0.00966,8.27,0.00,0.069,777,232.3
13,13.0,131,131,0.11400,0.33885,0.00000,0.00000,0.01138,8.27,0.00,0.069,837,249.3
14,14.0,149,149,0.12507,0.37539,0.00000,0.00000,0.01324,8.27,0.00,0.069,904,270.6
15,15.0,170,170,0.13704,0.41547,0.00000,0.00000,0.01522,8.27,0.00,0.069,956,287.6
16,16.0,192,192,0.14883,0.45471,0.00000,0.00000,0.01734,8.27,0.00,0.070,1023,310.2
17,17.0,216,216,0.16069,0.49452,0.00000,0.00000,0.01958,8.27,0.00,0.070,1072,328.3
18,18.0,236,236,0.16995,0.52547,0.00000,0.00000,0.02198,8.27,0.00,0.070,1134,350.8
19,19.0,265,265,0.18228,0.56700,0.00000,0.00000,0.02449,8.27,0.00,0.070,1176,368.7
20,20.0,303,303,0.19673,0.61597,0.00000,0.00000,0.02719,8.27,0.00,0.071,1246,397.1
21,21.0,344,344,0.21050,0.66262,0.00000,0.00000,0.03012,8.27,0.00,0.071,1322,429.8
22,22.0,382,382,0.22178,0.70078,0.00000,0.00000,0.03330,8.27,0.00,0.071,1421,467.9
23,23.0,435,435,0.23534,0.74690,0.00000,0.00000,0.03673,8.27,0.00,0.071,1505,504.8
24,24.0,500,500,0.24918,0.79388,0.00000,0.00000,0.04053,8.27,0.00,0.072,1616,559.9
25,25.0,551,551,0.25820,0.82454,0.00000,0.00000,0.04478,8.27,0.00,0.072,1727,622.9
26,26.0,598,598,0.26529,0.84875,0.00000,0.00000,0.04944,8.27,0.00,0.072,1837,682.7
27,27.0,649,649,0.27200,0.87125,0.00000,0.00000,0.05444,8.27,0.00,0.073,1881,730.5
28,28.0,698,698,0.27766,0.88971,0.00000,0.00000,0.05944,8.27,0.00,0.073,1135,723.1
29,29.0,753,753,0.28308,0.90730,0.00000,0.00000,0.06444,8.27,0.00,0.073,1111,725.6
30,30.0,806,806,0.28701,0.92159,0.00000,0.00000,0.06943,8.27,0.00,0.074,1092,723.7
31,31.0,861,861,0.29065,0.93409,0.00000,0.00000,0.07443,8.27,0.00,0.074,1084,723.1
32,32.0,926,926,0.29430,0.94633,0.00000,0.00000,0.07943,8.27,0.00,0.074,1075,722.6
