scenario,arm,seed,t_min,burned_cells,j_phys
S1,F5,201,2.0,3,0.00064
S1,F5,201,14.0,6,0.00127
S1,F5,201,26.0,6,0.00127
S1,F5,201,38.0,6,0.00127
S1,F5,201,50.0,6,0.00127
S1,F5,201,62.0,6,0.00127
S1,Test0,201,2.0,3,0.00064
S1,Test0,201,14.0,8,0.00169
S1,Test0,201,26.0,12,0.00253
S1,Test0,201,38.0,20,0.00419
S1,Test0,201,50.0,79,0.01596
S1,Test0,201,62.0,391,0.06643
S1,Test0,201,74.0,601,0.09223
S1,Test0,201,86.0,784,0.11097
S1,Test0,201,98.0,905,0.12184
S1,Test0,201,110.0,995,0.12925
S1,Test0,201,122.0,1087,0.1566
S1,Test0,201,134.0,1130,0.18026
S1,Test0,201,146.0,1191,0.2072
S1,Test0,201,158.0,1253,0.22501
S1,Test0,201,170.0,1291,0.2513
S1,Test0,201,182.0,1323,0.30892
S1,Test0,201,194.0,1345,0.3387
S1,Test0,201,206.0,1382,0.35841
S1,Test0,201,218.0,1401,0.37493
S1,Test0,201,230.0,1428,0.39345
S1,Test0,201,242.0,1474,0.40687
S1,Test0,201,254.0,1505,0.41463
S1,Test0,201,266.0,1532,0.4252
S1,Test0,201,278.0,1556,0.44501
S1,Test0,201,290.0,1605,0.46555
S1,Test0,201,302.0,1691,0.47337
S1,Test0,201,314.0,1826,0.49257
S1,Test0,201,326.0,1999,0.51833
S1,Test0,201,338.0,2208,0.54922
S1,Test0,201,350.0,2396,0.56032
S1,Test0,201,362.0,2532,0.56983
S1,Test0,201,374.0,2625,0.57557
S1,Test0,201,386.0,2718,0.58116
S1,Test0,201,398.0,2820,0.58677
S1,Test0,201,410.0,2888,0.59119
S1,Test0,201,422.0,2923,0.59463
S1,Test0,201,434.0,2946,0.59771
S1,Test0,201,446.0,2966,0.60065
S1,Test0,201,458.0,2982,0.60345
S1,Test0,201,470.0,3015,0.60661
S1,Test0,201,482.0,3053,0.60976
S1,Test0,201,494.0,3093,0.61284
S1,Test0,201,506.0,3133,0.61585
S1,Test0,201,518.0,3142,0.6181
S1,Test0,201,530.0,3142,0.62001
S1,Test0,201,542.0,3142,0.62163
S1,Test0,201,554.0,3142,0.62313
S1,Test0,201,566.0,3142,0.62455
S1,Test0,201,578.0,3142,0.62589
S1,Test0,201,590.0,3142,0.62713
S1,Test0,201,602.0,3142,0.62828
S1,Test0,201,614.0,3142,0.62936
S1,Test0,201,626.0,3142,0.63023
S1,Test0,201,638.0,3142,0.63086
S1,Test0,201,650.0,3142,0.63145
S1,Test0,201,662.0,3142,0.63195
S1,Test0,201,674.0,3142,0.63226
S1,Test0,201,686.0,3142,0.63237
S1,Test0,201,698.0,3142,0.63244
S1,Test0,201,710.0,3142,0.6325
S1,F5Ev,201,2.0,3,0.00064
S1,F5Ev,201,14.0,6,0.00127
S1,F5Ev,201,26.0,6,0.00127
S1,F5Ev,201,38.0,6,0.00127
S1,F5Ev,201,50.0,6,0.00127
S1,F5Ev,201,62.0,6,0.00127
S1,F5EvAI,201,2.0,3,0.00064
S1,F5EvAI,201,14.0,6,0.00127
S1,F5EvAI,201,26.0,6,0.00127
S1,F5EvAI,201,38.0,6,0.00127
S1,F5EvAI,201,50.0,6,0.00127
S1,F5EvAI,201,62.0,6,0.00127
S2,Test0,201,2.0,7,0.00148
S2,Test0,201,14.0,58,0.01187
S2,Test0,201,26.0,133,0.02602
S2,Test0,201,38.0,199,0.03748
S2,Test0,201,50.0,355,0.06144
S2,Test0,201,62.0,867,0.11854
S2,Test0,201,74.0,1325,0.18661
S2,Test0,201,86.0,1681,0.22215
S2,Test0,201,98.0,1968,0.24021
S2,Test0,201,110.0,2206,0.26342
S2,Test0,201,122.0,2404,0.29675
S2,Test0,201,134.0,2500,0.32561
S2,Test0,201,146.0,2587,0.36878
S2,Test0,201,158.0,2637,0.43224
S2,Test0,201,170.0,2687,0.44563
S2,Test0,201,182.0,2744,0.49528
S2,Test0,201,194.0,2794,0.53298
S2,Test0,201,206.0,2892,0.56552
S2,Test0,201,218.0,2946,0.57619
S2,Test0,201,230.0,3021,0.5811
S2,Test0,201,242.0,3062,0.58505
S2,Test0,201,254.0,3098,0.58877
S2,Test0,201,266.0,3131,0.59237
S2,Test0,201,278.0,3142,0.59543
S2,Test0,201,290.0,3142,0.59822
S2,Test0,201,302.0,3142,0.60102
S2,Test0,201,314.0,3142,0.60381
S2,Test0,201,326.0,3142,0.6066
S2,Test0,201,338.0,3142,0.60933
S2,Test0,201,350.0,3142,0.61199
S2,Test0,201,362.0,3142,0.6146
S2,Test0,201,374.0,3142,0.61718
S2,Test0,201,386.0,3142,0.61976
S2,Test0,201,398.0,3142,0.62233
S2,Test0,201,410.0,3142,0.62485
S2,Test0,201,422.0,3142,0.62718
S2,Test0,201,434.0,3142,0.62918
S2,Test0,201,446.0,3142,0.63108
S2,Test0,201,458.0,3142,0.63279
S2,Test0,201,470.0,3142,0.63435
S2,Test0,201,482.0,3142,0.63574
S2,Test0,201,494.0,3142,0.63701
S2,Test0,201,506.0,3142,0.63799
S2,Test0,201,518.0,3142,0.63884
S2,Test0,201,530.0,3142,0.63961
S2,Test0,201,542.0,3142,0.64015
S2,Test0,201,554.0,3142,0.64042
S2,Test0,201,566.0,3142,0.64052
S2,Test0,201,578.0,3142,0.64058
S2,Test0,201,590.0,3142,0.64064
S2,Test0,201,602.0,3142,0.6407
S2,Test0,201,614.0,3142,0.64076
S2,Test0,201,626.0,3142,0.64082
S2,Test0,201,638.0,3142,0.64089
S2,Test0,201,650.0,3142,0.64095
S2,Test0,201,662.0,3142,0.64101
S2,Test0,201,674.0,3142,0.64107
S2,Test0,201,686.0,3142,0.64113
S2,Test0,201,698.0,3142,0.64119
S2,Test0,201,710.0,3142,0.64125
S2,F5,201,2.0,7,0.00148
S2,F5,201,14.0,56,0.01147
S2,F5,201,26.0,114,0.02255
S2,F5,201,38.0,122,0.02402
S2,F5,201,50.0,125,0.02457
S2,F5,201,62.0,142,0.02763
S2,F5,201,74.0,261,0.04749
S2,F5,201,86.0,365,0.06284
S2,F5,201,98.0,458,0.0768
S2,F5,201,110.0,594,0.11548
S2,F5,201,122.0,685,0.13345
S2,F5,201,134.0,738,0.13902
S2,F5,201,146.0,798,0.15114
S2,F5,201,158.0,1087,0.17901
S2,F5,201,170.0,1421,0.2026
S2,F5,201,182.0,1669,0.21604
S2,F5,201,194.0,1848,0.2245
S2,F5,201,206.0,1955,0.22917
S2,F5,201,218.0,2069,0.24471
S2,F5,201,230.0,2296,0.28916
S2,F5,201,242.0,2332,0.29075
S2,F5,201,254.0,2350,0.29468
S2,F5,201,266.0,2390,0.29766
S2,F5,201,278.0,2409,0.29991
S2,F5,201,290.0,2424,0.30205
S2,F5,201,302.0,2442,0.30584
S2,F5,201,314.0,2446,0.306
S2,F5,201,326.0,2456,0.31103
S2,F5,201,338.0,2474,0.31164
S2,F5,201,350.0,2485,0.31671
S2,F5,201,362.0,2519,0.31784
S2,F5,201,374.0,2554,0.31896
S2,F5,201,386.0,2587,0.32466
S2,F5,201,398.0,2617,0.3256
S2,F5,201,410.0,2633,0.32612
S2,F5,201,422.0,2654,0.32676
S2,F5,201,434.0,2685,0.33236
S2,F5,201,446.0,2704,0.33746
S2,F5,201,458.0,2728,0.34509
S2,F5,201,470.0,2746,0.35039
S2,F5,201,482.0,2753,0.35068
S2,F5,201,494.0,2755,0.3539
S2,F5,201,506.0,2756,0.35399
S2,F5,201,518.0,2759,0.35411
S2,F5,201,530.0,2763,0.35425
S2,F5,201,542.0,2764,0.35432
S2,F5,201,554.0,2765,0.35436
S2,F5,201,566.0,2766,0.35441
S2,F5,201,578.0,2769,0.3545
S2,F5,201,590.0,2772,0.35459
S2,F5,201,602.0,2774,0.35466
S2,F5,201,614.0,2774,0.3547
S2,F5,201,626.0,2776,0.35634
S2,F5,201,638.0,2777,0.35639
S2,F5,201,650.0,2777,0.3564
S2,F5,201,662.0,2778,0.35644
S2,F5,201,674.0,2779,0.35647
S2,F5,201,686.0,2782,0.35656
S2,F5,201,698.0,2784,0.35662
S2,F5,201,710.0,2784,0.35662
S2,F5Ev,201,2.0,7,0.00148
S2,F5Ev,201,14.0,56,0.01147
S2,F5Ev,201,26.0,114,0.02255
S2,F5Ev,201,38.0,122,0.02402
S2,F5Ev,201,50.0,125,0.02457
S2,F5Ev,201,62.0,142,0.02763
S2,F5Ev,201,74.0,235,0.04337
S2,F5Ev,201,86.0,354,0.0613
S2,F5Ev,201,98.0,456,0.07654
S2,F5Ev,201,110.0,581,0.09779
S2,F5Ev,201,122.0,773,0.15045
S2,F5Ev,201,134.0,867,0.1643
S2,F5Ev,201,146.0,945,0.18277
S2,F5Ev,201,158.0,1239,0.2048
S2,F5Ev,201,170.0,1533,0.22408
S2,F5Ev,201,182.0,1772,0.24246
S2,F5Ev,201,194.0,1902,0.2484
S2,F5Ev,201,206.0,1959,0.2524
S2,F5Ev,201,218.0,2040,0.25578
S2,F5Ev,201,230.0,2159,0.26975
S2,F5Ev,201,242.0,2241,0.28377
S2,F5Ev,201,254.0,2262,0.28779
S2,F5Ev,201,266.0,2289,0.29969
S2,F5Ev,201,278.0,2304,0.30029
S2,F5Ev,201,290.0,2349,0.30344
S2,F5Ev,201,302.0,2394,0.30501
S2,F5Ev,201,314.0,2408,0.30863
S2,F5Ev,201,326.0,2424,0.31298
S2,F5Ev,201,338.0,2438,0.31663
S2,F5Ev,201,350.0,2451,0.32022
S2,F5Ev,201,362.0,2464,0.32227
S2,F5Ev,201,374.0,2490,0.32315
S2,F5Ev,201,386.0,2545,0.32496
S2,F5Ev,201,398.0,2572,0.32742
S2,F5Ev,201,410.0,2600,0.32832
S2,F5Ev,201,422.0,2626,0.33071
S2,F5Ev,201,434.0,2647,0.33137
S2,F5Ev,201,446.0,2674,0.33221
S2,F5Ev,201,458.0,2690,0.3327
S2,F5Ev,201,470.0,2712,0.33338
S2,F5Ev,201,482.0,2732,0.33396
S2,F5Ev,201,494.0,2741,0.33424
S2,F5Ev,201,506.0,2744,0.33434
S2,F5Ev,201,518.0,2747,0.33444
S2,F5Ev,201,530.0,2747,0.33447
S2,F5Ev,201,542.0,2754,0.33626
S2,F5Ev,201,554.0,2764,0.3428
S2,F5Ev,201,566.0,2765,0.34285
S2,F5Ev,201,578.0,2769,0.35314
S2,F5Ev,201,590.0,2770,0.35322
S2,F5Ev,201,602.0,2774,0.35491
S2,F5Ev,201,614.0,2781,0.36121
S2,F5Ev,201,626.0,2781,0.36123
S2,F5Ev,201,638.0,2781,0.36124
S2,F5Ev,201,650.0,2785,0.36603
S2,F5Ev,201,662.0,2788,0.3677
S2,F5Ev,201,674.0,2789,0.36929
S2,F5Ev,201,686.0,2790,0.36936
S2,F5Ev,201,698.0,2796,0.36952
S2,F5Ev,201,710.0,2799,0.3696
S3,Test0,201,2.0,10,0.00222
S3,Test0,201,14.0,235,0.04529
S3,Test0,201,26.0,535,0.09517
S3,Test0,201,38.0,666,0.12294
S3,Test0,201,50.0,753,0.14075
S3,Test0,201,62.0,794,0.15097
S3,Test0,201,74.0,826,0.15787
S3,Test0,201,86.0,846,0.16092
S3,Test0,201,98.0,867,0.16329
S3,Test0,201,110.0,870,0.16445
S3,Test0,201,122.0,870,0.16483
S3,Test0,201,134.0,870,0.16519
S3,Test0,201,146.0,870,0.16554
S3,Test0,201,158.0,870,0.16589
S3,Test0,201,170.0,870,0.16624
S3,Test0,201,182.0,871,0.16667
S3,Test0,201,194.0,873,0.16719
S3,Test0,201,206.0,911,0.17672
S3,Test0,201,218.0,928,0.18781
S3,Test0,201,230.0,936,0.19151
S3,Test0,201,242.0,972,0.21762
S3,Test0,201,254.0,994,0.22911
S3,Test0,201,266.0,1013,0.23818
S3,Test0,201,278.0,1068,0.24952
S3,Test0,201,290.0,1146,0.26623
S3,Test0,201,302.0,1187,0.27784
S3,Test0,201,314.0,1246,0.29135
S3,Test0,201,326.0,1297,0.30925
S3,Test0,201,338.0,1342,0.31851
S3,Test0,201,350.0,1395,0.33307
S3,Test0,201,362.0,1453,0.34873
S3,Test0,201,374.0,1519,0.36339
S3,Test0,201,386.0,1558,0.37371
S3,Test0,201,398.0,1585,0.38158
S3,Test0,201,410.0,1614,0.38782
S3,Test0,201,422.0,1652,0.39252
S3,Test0,201,434.0,1689,0.39566
S3,Test0,201,446.0,1744,0.40273
S3,Test0,201,458.0,1792,0.41207
S3,Test0,201,470.0,1839,0.41803
S3,Test0,201,482.0,1918,0.42732
S3,Test0,201,494.0,2001,0.44158
S3,Test0,201,506.0,2062,0.45379
S3,Test0,201,518.0,2119,0.46285
S3,Test0,201,530.0,2183,0.47538
S3,Test0,201,542.0,2250,0.48673
S3,Test0,201,554.0,2337,0.49921
S3,Test0,201,566.0,2416,0.51028
S3,Test0,201,578.0,2508,0.52416
S3,Test0,201,590.0,2596,0.54111
S3,Test0,201,602.0,2675,0.55759
S3,Test0,201,614.0,2735,0.56884
S3,Test0,201,626.0,2781,0.57834
S3,Test0,201,638.0,2835,0.58409
S3,Test0,201,650.0,2872,0.58815
S3,Test0,201,662.0,2901,0.59451
S3,Test0,201,674.0,2913,0.60085
S3,Test0,201,686.0,2924,0.60542
S3,Test0,201,698.0,2935,0.61052
S3,Test0,201,710.0,2946,0.61458
S3,F5,201,2.0,10,0.00222
S3,F5,201,14.0,234,0.04513
S3,F5,201,26.0,482,0.08421
S3,F5,201,38.0,557,0.10215
S3,F5,201,50.0,631,0.11309
S3,F5,201,62.0,657,0.11908
S3,F5,201,74.0,686,0.12269
S3,F5,201,86.0,688,0.1234
S3,F5,201,98.0,712,0.12686
S3,F5,201,110.0,714,0.1271
S3,F5,201,122.0,714,0.12712
S3,F5,201,134.0,714,0.12713
S3,F5,201,146.0,714,0.12713
S3,F5,201,158.0,714,0.12714
S3,F5,201,170.0,714,0.12715
S3,F5,201,182.0,714,0.12716
S3,F5,201,194.0,714,0.12717
S3,F5,201,206.0,715,0.12728
S3,F5,201,218.0,715,0.12728
S3,F5,201,230.0,715,0.12729
S3,F5,201,242.0,715,0.1273
S3,F5,201,254.0,717,0.1275
S3,F5,201,266.0,717,0.1275
S3,F5,201,278.0,717,0.12752
S3,F5,201,290.0,718,0.12762
S3,F5,201,302.0,718,0.12763
S3,F5,201,314.0,718,0.12763
S3,F5,201,326.0,718,0.12763
S3,F5,201,338.0,718,0.12763
S3,F5,201,350.0,718,0.12763
S3,F5,201,362.0,718,0.12763
S3,F5,201,374.0,718,0.12763
S3,F5,201,386.0,718,0.12763
S3,F5,201,398.0,718,0.12763
S3,F5,201,410.0,718,0.12763
S3,F5,201,422.0,718,0.12763
S3,F5,201,434.0,718,0.12763
S3,F5,201,446.0,718,0.12763
S3,F5,201,458.0,718,0.12763
S3,F5,201,470.0,718,0.12763
S3,F5,201,482.0,718,0.12763
S3,F5,201,494.0,718,0.12763
S3,F5,201,506.0,718,0.12763
S3,F5,201,518.0,718,0.12763
S3,F5,201,530.0,718,0.12763
S3,F5,201,542.0,718,0.12763
S3,F5,201,554.0,718,0.12763
S3,F5,201,566.0,718,0.12763
S3,F5,201,578.0,718,0.12763
S3,F5,201,590.0,718,0.12763
S3,F5,201,602.0,718,0.12763
S3,F5,201,614.0,718,0.12763
S3,F5,201,626.0,718,0.12763
S3,F5,201,638.0,718,0.12763
S3,F5,201,650.0,718,0.12763
S3,F5,201,662.0,718,0.12763
S3,F5,201,674.0,718,0.12763
S3,F5,201,686.0,718,0.12763
S3,F5,201,698.0,718,0.12763
S3,F5,201,710.0,718,0.12763
S2,F5EvAI,201,2.0,7,0.00148
S2,F5EvAI,201,14.0,56,0.01147
S2,F5EvAI,201,26.0,114,0.02255
S2,F5EvAI,201,38.0,122,0.02402
S2,F5EvAI,201,50.0,125,0.02457
S2,F5EvAI,201,62.0,142,0.02763
S2,F5EvAI,201,74.0,235,0.04337
S2,F5EvAI,201,86.0,349,0.06059
S2,F5EvAI,201,98.0,422,0.07058
S2,F5EvAI,201,110.0,576,0.0941
S2,F5EvAI,201,122.0,825,0.15392
S2,F5EvAI,201,134.0,902,0.16147
S2,F5EvAI,201,146.0,965,0.17389
S2,F5EvAI,201,158.0,1250,0.19708
S2,F5EvAI,201,170.0,1529,0.21541
S2,F5EvAI,201,182.0,1725,0.2255
S2,F5EvAI,201,194.0,1875,0.23246
S2,F5EvAI,201,206.0,1991,0.23897
S2,F5EvAI,201,218.0,2121,0.25508
S2,F5EvAI,201,230.0,2265,0.2824
S2,F5EvAI,201,242.0,2355,0.29359
S2,F5EvAI,201,254.0,2386,0.30262
S2,F5EvAI,201,266.0,2469,0.30704
S2,F5EvAI,201,278.0,2523,0.3089
S2,F5EvAI,201,290.0,2543,0.3096
S2,F5EvAI,201,302.0,2577,0.31853
S2,F5EvAI,201,314.0,2611,0.32438
S2,F5EvAI,201,326.0,2648,0.32559
S2,F5EvAI,201,338.0,2670,0.32633
S2,F5EvAI,201,350.0,2683,0.32679
S2,F5EvAI,201,362.0,2708,0.3307
S2,F5EvAI,201,374.0,2722,0.33119
S2,F5EvAI,201,386.0,2739,0.33176
S2,F5EvAI,201,398.0,2740,0.33187
S2,F5EvAI,201,410.0,2743,0.33516
S2,F5EvAI,201,422.0,2745,0.3353
S2,F5EvAI,201,434.0,2745,0.33538
S2,F5EvAI,201,446.0,2748,0.3371
S2,F5EvAI,201,458.0,2751,0.34193
S2,F5EvAI,201,470.0,2754,0.34677
S2,F5EvAI,201,482.0,2759,0.35324
S2,F5EvAI,201,494.0,2761,0.35652
S2,F5EvAI,201,506.0,2765,0.3628
S2,F5EvAI,201,518.0,2767,0.36295
S2,F5EvAI,201,530.0,2770,0.36308
S2,F5EvAI,201,542.0,2770,0.36313
S2,F5EvAI,201,554.0,2773,0.36324
S2,F5EvAI,201,566.0,2774,0.36329
S2,F5EvAI,201,578.0,2776,0.36337
S2,F5EvAI,201,590.0,2779,0.36347
S2,F5EvAI,201,602.0,2784,0.36361
S2,F5EvAI,201,614.0,2785,0.36365
S2,F5EvAI,201,626.0,2787,0.3637
S2,F5EvAI,201,638.0,2791,0.36381
S2,F5EvAI,201,650.0,2794,0.3639
S2,F5EvAI,201,662.0,2796,0.36395
S2,F5EvAI,201,674.0,2799,0.36559
S2,F5EvAI,201,686.0,2801,0.36565
S2,F5EvAI,201,698.0,2806,0.36579
S2,F5EvAI,201,710.0,2810,0.3659
S3,F5Ev,201,2.0,10,0.00222
S3,F5Ev,201,14.0,234,0.04513
S3,F5Ev,201,26.0,478,0.0837
S3,F5Ev,201,38.0,549,0.1012
S3,F5Ev,201,50.0,619,0.11176
S3,F5Ev,201,62.0,667,0.11967
S3,F5Ev,201,74.0,689,0.12251
S3,F5Ev,201,86.0,704,0.12505
S3,F5Ev,201,98.0,716,0.1263
S3,F5Ev,201,110.0,730,0.12772
S3,F5Ev,201,122.0,732,0.12792
S3,F5Ev,201,134.0,738,0.12852
S3,F5Ev,201,146.0,738,0.12852
S3,F5Ev,201,158.0,748,0.12952
S3,F5Ev,201,170.0,752,0.12991
S3,F5Ev,201,182.0,754,0.13011
S3,F5Ev,201,194.0,756,0.13031
S3,F5Ev,201,206.0,758,0.1305
S3,F5Ev,201,218.0,761,0.1308
S3,F5Ev,201,230.0,761,0.1308
S3,F5Ev,201,242.0,761,0.1308
S3,F5EvAI,201,2.0,10,0.00222
S3,F5EvAI,201,14.0,234,0.04513
S3,F5EvAI,201,26.0,482,0.08421
S3,F5EvAI,201,38.0,557,0.10215
S3,F5EvAI,201,50.0,630,0.11298
S3,F5EvAI,201,62.0,656,0.11897
S3,F5EvAI,201,74.0,677,0.12174
S3,F5EvAI,201,86.0,689,0.12399
S3,F5EvAI,201,98.0,699,0.12505
S3,F5EvAI,201,110.0,710,0.12619
S3,F5EvAI,201,122.0,716,0.1268
S3,F5EvAI,201,134.0,722,0.12742
S3,F5EvAI,201,146.0,722,0.12742
S3,F5EvAI,201,158.0,728,0.12802
S3,F5EvAI,201,170.0,734,0.12863
S3,F5EvAI,201,182.0,736,0.12883
S3,F5EvAI,201,194.0,737,0.12893
S4,Test0,201,2.0,16,0.00353
S4,Test0,201,14.0,276,0.05196
S4,Test0,201,26.0,648,0.10812
S4,Test0,201,38.0,906,0.146
S4,Test0,201,50.0,1139,0.17324
S4,Test0,201,62.0,1353,0.1976
S4,Test0,201,74.0,1548,0.23317
S4,Test0,201,86.0,1677,0.2669
S4,Test0,201,98.0,1819,0.29686
S4,Test0,201,110.0,2006,0.33665
S4,Test0,201,122.0,2134,0.38358
S4,Test0,201,134.0,2253,0.41974
S4,Test0,201,146.0,2379,0.43934
S4,Test0,201,158.0,2519,0.46787
S4,Test0,201,170.0,2635,0.50237
S4,Test0,201,182.0,2805,0.53297
S4,Test0,201,194.0,2871,0.55451
S4,Test0,201,206.0,2898,0.56523
S4,Test0,201,218.0,2917,0.57179
S4,Test0,201,230.0,2970,0.58374
S4,Test0,201,242.0,2983,0.58919
S4,Test0,201,254.0,2985,0.59335
S4,Test0,201,266.0,2987,0.59698
S4,Test0,201,278.0,2988,0.6001
S4,Test0,201,290.0,2989,0.60319
S4,Test0,201,302.0,2989,0.60623
S4,Test0,201,314.0,2989,0.60925
S4,Test0,201,326.0,2989,0.61224
S4,Test0,201,338.0,2989,0.61522
S4,Test0,201,350.0,2989,0.61816
S4,Test0,201,362.0,2989,0.62105
S4,Test0,201,374.0,2989,0.62386
S4,Test0,201,386.0,2989,0.62653
S4,Test0,201,398.0,2989,0.62906
S4,Test0,201,410.0,2989,0.63148
S4,Test0,201,422.0,2989,0.63374
S4,Test0,201,434.0,2989,0.63573
S4,Test0,201,446.0,2989,0.63754
S4,Test0,201,458.0,2989,0.63913
S4,Test0,201,470.0,2989,0.64032
S4,Test0,201,482.0,2989,0.64114
S4,Test0,201,494.0,2989,0.64183
S4,Test0,201,506.0,2989,0.6424
S4,Test0,201,518.0,2989,0.64282
S4,Test0,201,530.0,2989,0.64303
S4,Test0,201,542.0,2989,0.64316
S4,Test0,201,554.0,2989,0.64324
S4,Test0,201,566.0,2989,0.64331
S4,Test0,201,578.0,2989,0.64337
S4,Test0,201,590.0,2989,0.64339
S4,Test0,201,602.0,2989,0.64341
S4,Test0,201,614.0,2989,0.64343
S4,Test0,201,626.0,2989,0.64344
S4,Test0,201,638.0,2989,0.64346
S4,Test0,201,650.0,2989,0.64347
S4,Test0,201,662.0,2989,0.64348
S4,Test0,201,674.0,2989,0.64349
S4,Test0,201,686.0,2989,0.6435
S4,Test0,201,698.0,2989,0.64351
S4,Test0,201,710.0,2989,0.64353
S4,F5,201,2.0,16,0.00353
S4,F5,201,14.0,269,0.05085
S4,F5,201,26.0,535,0.09079
S4,F5,201,38.0,645,0.11214
S4,F5,201,50.0,746,0.12512
S4,F5,201,62.0,782,0.13179
S4,F5,201,74.0,804,0.13441
S4,F5,201,86.0,845,0.13969
S4,F5,201,98.0,849,0.14008
S4,F5,201,110.0,865,0.14153
S4,F5,201,122.0,867,0.14171
S4,F5,201,134.0,867,0.14171
S4,F5,201,146.0,868,0.1418
S4,F5,201,158.0,873,0.14225
S4,F5,201,170.0,895,0.14418
S4,F5,201,182.0,899,0.14453
S4,F5,201,194.0,899,0.14453
S4,F5,201,206.0,899,0.14453
S4,F5,201,218.0,902,0.14479
S4,F5,201,230.0,905,0.14505
S4,F5,201,242.0,905,0.14505
S4,F5,201,254.0,907,0.14523
S4,F5,201,266.0,907,0.14523
S4,F5,201,278.0,908,0.14531
S4,F5,201,290.0,908,0.14531
S4,F5,201,302.0,909,0.1454
S4,F5,201,314.0,910,0.14548
S4,F5,201,326.0,918,0.14618
S4,F5,201,338.0,923,0.14664
S4,F5,201,350.0,925,0.1478
S4,F5,201,362.0,925,0.14783
S4,F5,201,374.0,929,0.14817
S4,F5,201,386.0,929,0.14817
S4,F5,201,398.0,931,0.14834
S4,F5,201,410.0,931,0.14834
S4,F5,201,422.0,931,0.14834
S4,F5,201,434.0,932,0.14843
S4,F5,201,446.0,933,0.14851
S4,F5,201,458.0,933,0.14851
S4,F5,201,470.0,933,0.14851
S4,F5,201,482.0,934,0.1486
S4,F5,201,494.0,934,0.1486
S4,F5,201,506.0,934,0.1486
S4,F5,201,518.0,934,0.1486
S4,F5,201,530.0,934,0.1486
S4,F5,201,542.0,939,0.14902
S4,F5,201,554.0,942,0.14927
S4,F5,201,566.0,950,0.14994
S4,F5,201,578.0,951,0.15002
S4,F5,201,590.0,952,0.15011
S4,F5,201,602.0,956,0.15044
S4,F5,201,614.0,956,0.15044
S4,F5,201,626.0,957,0.15052
S4,F5,201,638.0,957,0.15052
S4,F5,201,650.0,962,0.15094
S4,F5,201,662.0,962,0.15094
S4,F5,201,674.0,962,0.15094
S4,F5,201,686.0,962,0.15094
S4,F5,201,698.0,962,0.15094
S4,F5,201,710.0,967,0.15135
S4,F5Ev,201,2.0,16,0.00353
S4,F5Ev,201,14.0,269,0.05085
S4,F5Ev,201,26.0,527,0.08982
S4,F5Ev,201,38.0,604,0.10759
S4,F5Ev,201,50.0,678,0.11815
S4,F5Ev,201,62.0,741,0.1273
S4,F5Ev,201,74.0,770,0.13067
S4,F5Ev,201,86.0,792,0.13376
S4,F5Ev,201,98.0,827,0.13707
S4,F5Ev,201,110.0,862,0.14026
S4,F5Ev,201,122.0,874,0.14133
S4,F5Ev,201,134.0,890,0.14274
S4,F5Ev,201,146.0,901,0.1437
S4,F5Ev,201,158.0,927,0.14593
S4,F5Ev,201,170.0,941,0.14712
S4,F5Ev,201,182.0,952,0.14804
S4,F5Ev,201,194.0,965,0.14911
S4,F5Ev,201,206.0,970,0.14952
S4,F5Ev,201,218.0,993,0.15188
S4,F5Ev,201,230.0,1007,0.153
S4,F5Ev,201,242.0,1012,0.1534
S4,F5Ev,201,254.0,1027,0.15507
S4,F5Ev,201,266.0,1045,0.15744
S4,F5Ev,201,278.0,1057,0.15836
S4,F5Ev,201,290.0,1076,0.16078
S4,F5Ev,201,302.0,1092,0.16199
S4,F5Ev,201,314.0,1100,0.16455
S4,F5Ev,201,326.0,1120,0.16603
S4,F5Ev,201,338.0,1133,0.16748
S4,F5Ev,201,350.0,1148,0.16905
S4,F5Ev,201,362.0,1161,0.17047
S4,F5Ev,201,374.0,1189,0.17243
S4,F5Ev,201,386.0,1201,0.17423
S4,F5Ev,201,398.0,1211,0.17541
S4,F5Ev,201,410.0,1221,0.17608
S4,F5Ev,201,422.0,1243,0.17805
S4,F5Ev,201,434.0,1257,0.17898
S4,F5Ev,201,446.0,1258,0.17905
S4,F5Ev,201,458.0,1272,0.18289
S4,F5Ev,201,470.0,1287,0.18388
S4,F5Ev,201,482.0,1293,0.18427
S4,F5Ev,201,494.0,1300,0.18471
S4,F5Ev,201,506.0,1302,0.18484
S4,F5Ev,201,518.0,1310,0.18584
S4,F5Ev,201,530.0,1318,0.18683
S4,F5Ev,201,542.0,1328,0.18746
S4,F5Ev,201,554.0,1331,0.18765
S4,F5Ev,201,566.0,1336,0.18796
S4,F5Ev,201,578.0,1343,0.18888
S4,F5Ev,201,590.0,1349,0.18925
S4,F5Ev,201,602.0,1351,0.18937
S4,F5Ev,201,614.0,1355,0.18962
S4,F5Ev,201,626.0,1364,0.19017
S4,F5Ev,201,638.0,1374,0.19078
S4,F5Ev,201,650.0,1378,0.19102
S4,F5Ev,201,662.0,1386,0.1915
S4,F5Ev,201,674.0,1399,0.19228
S4,F5Ev,201,686.0,1406,0.1927
S4,F5Ev,201,698.0,1417,0.19335
S4,F5Ev,201,710.0,1423,0.1937
S5,Test0,201,2.0,16,0.00353
S5,Test0,201,14.0,276,0.05196
S5,Test0,201,26.0,648,0.10812
S5,Test0,201,38.0,906,0.146
S5,Test0,201,50.0,1139,0.17324
S5,Test0,201,62.0,1353,0.1976
